ra,dec,d,phase,start_times,end_times
0.0,0.0,0.0,0,2023-10-18T11:55:55Z,2023-10-19T11:55:55Z
0.0,0.0,0.0,1,2023-10-19T11:55:55Z,2023-10-20T11:55:55Z
0.0,0.0,0.0,2,2023-10-20T11:55:55Z,2023-10-21T11:55:55Z
0.0,0.0,0.0,3,2023-10-21T11:55:55Z,2023-10-22T11:55:55Z
0.0,0.0,0.0,4,2023-10-22T11:55:55Z,2023-10-23T11:55:55Z
0.0,0.0,0.0,5,2023-10-23T11:55:55Z,2023-10-24T11:55:55Z
0.0,0.0,0.0,6,2023-10-24T11:55:55Z,2023-10-25T11:55:55Z
0.0,0.0,0.0,7,2023-10-25T11:55:55Z,2023-10-26T11:55:55Z
0.0,0.0,0.0,8,2023-10-26T11:55:55Z,2023-10-27T11:55:55Z
0.0,0.0,0.0,9,2023-10-27T11:55:55Z,2023-10-28T11:55:55Z
0.0,0.0,0.0,10,2023-10-28T11:55:55Z,2023-10-29T11:55:55Z
0.0,0.0,0.0,11,2023-10-29T11:55:55Z,2023-10-30T11:55:55Z
0.0,0.0,0.0,12,2023-10-30T11:55:55Z,2023-10-31T11:55:55Z
0.0,0.0,0.0,13,2023-10-31T11:55:55Z,2023-11-01T11:55:55Z
0.0,0.0,0.0,14,2023-11-01T11:55:55Z,2023-11-02T11:55:55Z
0.0,0.0,0.0,15,2023-11-02T11:55:55Z,2023-11-03T11:55:55Z
0.0,0.0,0.0,16,2023-11-03T11:55:55Z,2023-11-04T11:55:55Z
0.0,0.0,0.0,17,2023-11-04T11:55:55Z,2023-11-05T11:55:55Z
0.0,0.0,0.0,18,2023-11-05T11:55:55Z,2023-11-06T11:55:55Z
0.0,0.0,0.0,19,2023-11-06T11:55:55Z,2023-11-07T11:55:55Z
0.0,0.0,0.0,20,2023-11-07T11:55:55Z,2023-11-08T11:55:55Z
0.0,0.0,0.0,21,2023-11-08T11:55:55Z,2023-11-09T11:55:55Z
0.0,0.0,0.0,22,2023-11-09T11:55:55Z,2023-11-10T11:55:55Z
0.0,0.0,0.0,23,2023-11-10T11:55:55Z,2023-11-11T11:55:55Z
0.0,0.0,0.0,24,2023-11-11T11:55:55Z,2023-11-12T11:55:55Z
0.0,0.0,0.0,25,2023-11-12T11:55:55Z,2023-11-13T11:55:55Z
0.0,0.0,0.0,26,2023-11-13T11:55:55Z,2023-11-14T11:55:55Z
0.0,0.0,0.0,27,2023-11-14T11:55:55Z,2023-11-15T11:55:55Z
0.0,0.0,0.0,28,2023-11-15T11:55:55Z,2023-11-16T11:55:55Z
0.0,0.0,0.0,29,2023-11-16T11:55:55Z,2023-11-17T11:55:55Z
0.0,0.0,0.0,30,2023-11-17T11:55:55Z,2023-11-18T11:55:55Z
0.0,0.0,0.0,31,2023-11-18T11:55:55Z,2023-11-19T11:55:55Z
0.0,0.0,0.0,32,2023-11-19T11:55:55Z,2023-11-20T11:55:55Z
