ra,dec,d,phase
112.8029279,-6.268484026,1369.2463,241
112.820719,-6.264644314,1368.1929,241
112.838551,-6.260668789,1367.139,241
112.85643,-6.256780017,1366.0842,241
112.87435,-6.252755427,1365.0289,241
112.8922222,-6.248642295,1363.9728,241
112.9101414,-6.244615901,1362.9161,241
112.9281015,-6.240453694,1361.8587,241
112.9461499,-6.236243298,1360.8005,241
112.9640619,-6.231991663,1359.7417,241
112.9820622,-6.22769184,1358.6822,241
113.0001507,-6.223343819,1357.622,241
113.0182388,-6.218994889,1356.5612,241
113.0362791,-6.214557449,1355.4997,241
113.0544077,-6.210071801,1354.4374,241
113.0725771,-6.205450345,1353.3745,241
113.0907048,-6.20096288,1352.3109,241
113.1088734,-6.196339609,1351.2467,241
113.1270828,-6.191580533,1350.1816,241
113.1453392,-6.186908122,1349.116,241
113.1635477,-6.182147231,1348.0496,241
113.1817971,-6.177250542,1346.9827,241
113.2000934,-6.172440503,1345.915,241
113.2184305,-6.16749466,1344.8466,241
113.2367198,-6.162460363,1343.7775,241
113.2551446,-6.157465353,1342.7078,241
113.2735216,-6.152381891,1341.6374,241
113.2918981,-6.147297519,1340.5662,241
113.3103154,-6.142077355,1339.4945,241
113.3287322,-6.136856284,1338.422,241
113.3472372,-6.131586937,1337.3488,241
113.3657416,-6.126316675,1336.2749,241
113.3841983,-6.120957997,1335.2004,241
113.402743,-6.115551034,1334.1252,241
113.4212398,-6.110055668,1333.0493,241
113.4398248,-6.104512013,1331.9727,241
113.4584092,-6.098967448,1330.8955,241
113.4770344,-6.093287103,1329.8175,241
113.4957064,-6.087693322,1328.7389,241
113.5143306,-6.082011158,1327.6596,241
113.5329954,-6.076193223,1326.5796,241
113.5516597,-6.070374383,1325.4989,241
113.5704121,-6.064507227,1324.4175,241
113.5891639,-6.058639159,1323.3354,241
113.6078678,-6.052682741,1322.2526,241
113.6266598,-6.046677999,1321.1692,241
113.6454039,-6.040584922,1320.0851,241
113.6642359,-6.034443517,1319.0003,241
113.6830674,-6.028301206,1317.9148,241
113.7018511,-6.02207058,1316.8286,241
113.72077,-6.015879022,1315.7418,241
113.7396822,-6.009464308,1314.6542,241
113.7585527,-6.003183539,1313.566,241
113.7774638,-5.996767028,1312.4771,241
113.7964629,-5.990302163,1311.3875,241
113.815414,-5.983749015,1310.2972,241
113.8343645,-5.977194974,1309.2062,241
113.853403,-5.970592572,1308.1146,241
113.8723936,-5.963901909,1307.0222,241
113.891472,-5.957162882,1305.9292,241
113.9105499,-5.950422958,1304.8354,241
113.9295799,-5.943594795,1303.741,241
113.9486977,-5.936718261,1302.6459,241
113.9678149,-5.929840835,1301.5501,241
113.9868842,-5.922875191,1300.4536,241
114.0060414,-5.915861171,1299.3565,241
114.025198,-5.908846263,1298.2586,241
114.0443951,-5.901695655,1297.16,241
114.0635916,-5.894544165,1296.0608,241
114.0827401,-5.887304496,1294.9609,241
114.1020238,-5.880103733,1293.8602,241
114.1212122,-5.87272751,1292.7588,241
114.1405358,-5.86539018,1291.6568,241
114.1598114,-5.857964692,1290.5541,241
114.1790864,-5.850538332,1289.4507,241
114.1984018,-5.842976306,1288.3466,241
114.2177166,-5.835413414,1287.2418,241
114.2370718,-5.827714866,1286.1364,241
114.2563854,-5.820150243,1285.0302,241
114.2758278,-5.812402425,1283.9233,241
114.2951338,-5.804614056,1282.8157,241
114.3145276,-5.796777286,1281.7075,241
114.3339207,-5.788939662,1280.5985,241
114.3533542,-5.780966408,1279.4888,241
114.3727871,-5.772992306,1278.3785,241
114.3923078,-5.764969789,1277.2675,241
114.411692,-5.75690679,1276.1557,241
114.431164,-5.748795383,1275.0432,241
114.4507237,-5.740635557,1273.9301,241
114.4702354,-5.732387704,1272.8162,241
114.4897464,-5.724139016,1271.7016,241
114.5092094,-5.715802327,1270.5864,241
114.5287602,-5.707417225,1269.4704,241
114.5483103,-5.699031294,1268.3537,241
114.5679007,-5.690509792,1267.2364,241
114.5874904,-5.681987467,1266.1183,241
114.6070795,-5.673464321,1264.9995,241
114.626709,-5.664805618,1263.88,241
114.6463377,-5.656146101,1262.7598,241
114.6659184,-5.647398654,1261.6389,241
114.6854984,-5.638650407,1260.5173,241
114.7051187,-5.629766635,1259.3949,241
114.7248741,-5.620921544,1258.2719,241
114.7444457,-5.611949085,1257.1481,241
114.7641524,-5.603015302,1256.0237,241
114.783811,-5.593993643,1254.8985,241
114.8035098,-5.58483649,1253.7726,241
114.8231671,-5.575813265,1252.646,241
114.8429529,-5.566606912,1251.5187,241
114.8626024,-5.55736037,1250.3906,241
114.8823395,-5.548065415,1249.2619,241
114.9020759,-5.538769693,1248.1324,241
114.9217642,-5.529386169,1247.0022,241
114.9415402,-5.519954233,1245.8713,241
114.9612681,-5.510434517,1244.7397,241
114.9809953,-5.500914056,1243.6074,241
115.0008101,-5.491345182,1242.4743,241
115.0204886,-5.481736228,1241.3404,241
115.0402547,-5.47207887,1240.2059,241
115.060061,-5.46228611,1239.0707,241
115.0798666,-5.452492624,1237.9347,241
115.0995832,-5.442746095,1236.798,241
115.1194284,-5.432816504,1235.6606,241
115.1391845,-5.422933886,1234.5223,241
115.1589809,-5.412915909,1233.3833,241
115.1787766,-5.40289723,1232.2438,241
115.1985716,-5.39287785,1231.1033,241
115.2184068,-5.382723132,1229.9622,241
115.2381939,-5.372480793,1228.8204,241
115.2580277,-5.362324699,1227.6778,241
115.2777661,-5.351994084,1226.5345,241
115.2975511,-5.341749716,1225.3904,241
115.3173764,-5.331370055,1224.2456,241
115.3371535,-5.320902832,1223.1,241
115.3570657,-5.310474126,1221.9537,241
115.3767941,-5.29991871,1220.8066,241
115.3966575,-5.289401808,1219.6589,241
115.4164254,-5.278710513,1218.5103,241
115.43624,-5.268105457,1217.361,241
115.4560066,-5.257412907,1216.211,241
115.4758133,-5.246585146,1215.0601,241
115.4956193,-5.235756773,1213.9085,241
115.5154247,-5.224927787,1212.7562,241
115.535182,-5.214011362,1211.6032,241
115.5549386,-5.203094341,1210.4493,241
115.5747828,-5.192128974,1209.2947,241
115.5945316,-5.18098939,1208.1394,241
115.614327,-5.169936039,1206.9832,241
115.6340744,-5.15879531,1205.8263,241
115.6538211,-5.147654014,1204.6686,241
115.673608,-5.136377606,1203.5101,241
115.6932587,-5.125061635,1202.3509,241
115.7130443,-5.113784126,1201.1909,241
115.7327344,-5.102332542,1200.0301,241
115.7524713,-5.090967189,1198.8686,241
115.7722483,-5.079466774,1197.7063,241
115.7918892,-5.067926873,1196.5432,241
115.8116175,-5.056338684,1195.3793,241
115.8312979,-5.044663258,1194.2146,241
115.8510249,-5.03307406,1193.0491,241
115.8706566,-5.021310929,1191.8829,241
115.8902876,-5.009547322,1190.7158,241
115.909918,-4.99778324,1189.548,241
115.9295004,-4.985931993,1188.3793,241
115.9491703,-4.974032488,1187.2099,241
115.9687923,-4.962045843,1186.0397,241
115.9883254,-4.950106558,1184.8687,241
116.0078987,-4.938032362,1183.6968,241
116.0274714,-4.925957739,1182.5242,241
116.0469961,-4.913796039,1181.3508,241
116.0665202,-4.901633928,1180.1764,241
116.0861319,-4.889423594,1179.0014,241
116.1055601,-4.877087405,1177.8255,241
116.125035,-4.864837463,1176.6488,241
116.1445501,-4.852452693,1175.4713,241
116.1639291,-4.840028759,1174.2928,241
116.1833957,-4.827556642,1173.1137,241
116.2027736,-4.815131994,1171.9337,241
116.2221916,-4.802572573,1170.7528,241
116.2415618,-4.789926227,1169.5712,241
116.2608432,-4.77732739,1168.3887,241
116.2802122,-4.764680397,1167.2054,241
116.2995332,-4.75194652,1166.0212,241
116.3188064,-4.739125783,1164.8363,241
116.3379909,-4.726352598,1163.6504,241
116.357263,-4.713531284,1162.4636,241
116.3764872,-4.700623151,1161.2762,241
116.3956635,-4.687628222,1160.0877,241
116.4148393,-4.674633038,1158.8985,241
116.4339264,-4.661685454,1157.7084,241
116.4530538,-4.648603265,1156.5174,241
116.4721334,-4.635434343,1155.3256,241
116.4911243,-4.622313061,1154.1329,241
116.5102028,-4.609143708,1152.9393,241
116.5292335,-4.595887664,1151.7449,241
116.5481283,-4.582592813,1150.5496,241
116.5671107,-4.569249922,1149.3534,241
116.5860045,-4.555954716,1148.1564,241
116.6048913,-4.54243857,1146.9584,241
116.6237368,-4.529056589,1145.7596,241
116.6424873,-4.515501581,1144.5599,241
116.6612846,-4.502032876,1143.3593,241
116.6801222,-4.488429741,1142.1577,241
116.698824,-4.47478794,1140.9553,241
116.71739,-4.461107501,1139.7521,241
116.7360909,-4.447465502,1138.5479,241
116.7546968,-4.433650615,1137.3428,241
116.7732143,-4.419883536,1136.1368,241
116.7918193,-4.406068513,1134.9299,241
116.8102886,-4.392214932,1133.7221,241
116.8287103,-4.378274938,1132.5133,241
116.8471315,-4.364334914,1131.3036,241
116.8655051,-4.350308509,1130.093,241
116.8837902,-4.336329978,1128.8815,241
116.9021158,-4.322217215,1127.669,241
116.9203529,-4.308152346,1126.4556,241
116.9385425,-4.294001164,1125.2413,241
116.9567316,-4.279850009,1124.0261,241
116.974826,-4.265526261,1122.8099,241
116.9928792,-4.25133677,1121.5927,241
117.0109728,-4.237013139,1120.3746,241
117.0289309,-4.222651175,1119.1556,241
117.0468006,-4.208337189,1117.9355,241
117.0647108,-4.193889117,1116.7146,241
117.0824855,-4.179402772,1115.4926,241
117.1003479,-4.164868649,1114.2697,241
117.118034,-4.150430442,1113.0458,241
117.1357605,-4.135858211,1111.8209,241
117.1533516,-4.121247777,1110.595,241
117.1708953,-4.106551262,1109.3682,241
117.1884859,-4.091941152,1108.1404,241
117.2059818,-4.077158758,1106.9116,241
117.2233895,-4.062424457,1105.6818,241
117.2407498,-4.047604142,1104.4511,241
