ra,dec,d,phase,start_times,end_times
0.1,0.1,0.1,0,2023-10-18T11:55:55Z,2023-10-19T11:55:55Z
0.1,0.1,0.1,1,2023-10-19T11:55:55Z,2023-10-20T11:55:55Z
0.1,0.1,0.1,2,2023-10-20T11:55:55Z,2023-10-21T11:55:55Z
0.1,0.1,0.1,3,2023-10-21T11:55:55Z,2023-10-22T11:55:55Z
0.1,0.1,0.1,4,2023-10-22T11:55:55Z,2023-10-23T11:55:55Z
0.1,0.1,0.1,5,2023-10-23T11:55:55Z,2023-10-24T11:55:55Z
0.1,0.1,0.1,6,2023-10-24T11:55:55Z,2023-10-25T11:55:55Z
0.1,0.1,0.1,7,2023-10-25T11:55:55Z,2023-10-26T11:55:55Z
0.1,0.1,0.1,8,2023-10-26T11:55:55Z,2023-10-27T11:55:55Z
0.1,0.1,0.1,9,2023-10-27T11:55:55Z,2023-10-28T11:55:55Z
0.1,0.1,0.1,10,2023-10-28T11:55:55Z,2023-10-29T11:55:55Z
0.1,0.1,0.1,11,2023-10-29T11:55:55Z,2023-10-30T11:55:55Z
0.1,0.1,0.1,12,2023-10-30T11:55:55Z,2023-10-31T11:55:55Z
0.1,0.1,0.1,13,2023-10-31T11:55:55Z,2023-11-01T11:55:55Z
0.1,0.1,0.1,14,2023-11-01T11:55:55Z,2023-11-02T11:55:55Z
0.1,0.1,0.1,15,2023-11-02T11:55:55Z,2023-11-03T11:55:55Z
0.1,0.1,0.1,16,2023-11-03T11:55:55Z,2023-11-04T11:55:55Z
0.1,0.1,0.1,17,2023-11-04T11:55:55Z,2023-11-05T11:55:55Z
0.1,0.1,0.1,18,2023-11-05T11:55:55Z,2023-11-06T11:55:55Z
0.1,0.1,0.1,19,2023-11-06T11:55:55Z,2023-11-07T11:55:55Z
0.1,0.1,0.1,20,2023-11-07T11:55:55Z,2023-11-08T11:55:55Z
0.1,0.1,0.1,21,2023-11-08T11:55:55Z,2023-11-09T11:55:55Z
0.1,0.1,0.1,22,2023-11-09T11:55:55Z,2023-11-10T11:55:55Z
0.1,0.1,0.1,23,2023-11-10T11:55:55Z,2023-11-11T11:55:55Z
0.1,0.1,0.1,24,2023-11-11T11:55:55Z,2023-11-12T11:55:55Z
0.1,0.1,0.1,25,2023-11-12T11:55:55Z,2023-11-13T11:55:55Z
0.1,0.1,0.1,26,2023-11-13T11:55:55Z,2023-11-14T11:55:55Z
0.1,0.1,0.1,27,2023-11-14T11:55:55Z,2023-11-15T11:55:55Z
0.1,0.1,0.1,28,2023-11-15T11:55:55Z,2023-11-16T11:55:55Z
0.1,0.1,0.1,29,2023-11-16T11:55:55Z,2023-11-17T11:55:55Z
0.1,0.1,0.1,30,2023-11-17T11:55:55Z,2023-11-18T11:55:55Z
0.1,0.1,0.1,31,2023-11-18T11:55:55Z,2023-11-19T11:55:55Z
0.1,0.1,0.1,32,2023-11-19T11:55:55Z,2023-11-20T11:55:55Z
0.1,0.1,0.1,33,2023-11-20T11:55:55Z,2023-11-21T11:55:55Z
0.1,0.1,0.1,34,2023-11-21T11:55:55Z,2023-11-22T11:55:55Z
0.1,0.1,0.1,35,2023-11-22T11:55:55Z,2023-11-23T11:55:55Z
0.1,0.1,0.1,36,2023-11-23T11:55:55Z,2023-11-24T11:55:55Z
