ra,dec,d,phase
112.8531958,-6.241688081,1369.3872,242
112.8709854,-6.237846226,1368.334,242
112.8887273,-6.233915836,1367.2802,242
112.9066047,-6.230024917,1366.2257,242
112.9244345,-6.226045464,1365.1705,242
112.9422166,-6.22197749,1364.1147,242
112.9601342,-6.217948962,1363.0581,242
112.9780928,-6.213784625,1362.0009,242
112.996051,-6.209619385,1360.9429,242
113.0139614,-6.205365638,1359.8843,242
113.0318715,-6.201110996,1358.825,242
113.0498698,-6.196808155,1357.765,242
113.0679564,-6.192457104,1356.7043,242
113.0859952,-6.188017557,1355.6429,242
113.1040335,-6.183577109,1354.5809,242
113.1221128,-6.179000866,1353.5182,242
113.1402389,-6.174511294,1352.4547,242
113.158406,-6.16988592,1351.3906,242
113.1765252,-6.165172079,1350.3258,242
113.1946914,-6.160544896,1349.2603,242
113.2128984,-6.155781916,1348.1941,242
113.2310576,-6.150930487,1347.1273,242
113.2493523,-6.146118355,1346.0597,242
113.2675992,-6.141217775,1344.9915,242
113.2857984,-6.136228763,1343.9226,242
113.304133,-6.131279023,1342.853,242
113.3224198,-6.126240853,1341.7827,242
113.3407947,-6.121154416,1340.7117,242
113.3591219,-6.115979561,1339.6401,242
113.3775371,-6.110756435,1338.5677,242
113.3959519,-6.105532402,1337.4946,242
113.4143662,-6.100307462,1336.4209,242
113.4328212,-6.094946743,1335.3465,242
113.4512758,-6.08958512,1334.2714,242
113.469771,-6.084087723,1333.1956,242
113.4882658,-6.078589426,1332.1192,242
113.5067601,-6.073090226,1331.042,242
113.5252951,-6.06745526,1329.9642,242
113.543877,-6.061906852,1328.8856,242
113.5624995,-6.056222674,1327.8064,242
113.5810742,-6.050450144,1326.7265,242
113.5996484,-6.044676718,1325.646,242
113.6183106,-6.038854975,1324.5647,242
113.6369723,-6.033032329,1323.4827,242
113.6556747,-6.027073927,1322.3999,242
113.6743765,-6.021114626,1321.3166,242
113.6930304,-6.015067011,1320.2326,242
113.7117724,-6.008971067,1319.1478,242
113.7305138,-6.002874227,1318.0624,242
113.7492958,-5.996641648,1316.9763,242
113.7681246,-5.990495566,1315.8895,242
113.7869467,-5.984126356,1314.802,242
113.8057271,-5.977891092,1313.7139,242
113.8246366,-5.971472641,1312.625,242
113.843457,-5.965100757,1311.5354,242
113.862318,-5.958593152,1310.4452,242
113.881267,-5.952037191,1309.3543,242
113.9001269,-5.945527812,1308.2627,242
113.9191158,-5.938835245,1307.1703,242
113.9380157,-5.932189271,1306.0773,242
113.9570035,-5.92549493,1304.9836,242
113.9759434,-5.918712371,1303.8892,242
113.9949712,-5.911881443,1302.7941,242
114.0139983,-5.905049631,1301.6983,242
114.033066,-5.898082124,1300.6018,242
114.0521332,-5.891113737,1299.5047,242
114.0711997,-5.884144471,1298.4068,242
114.0902183,-5.877087031,1297.3082,242
114.1093247,-5.86998121,1296.209,242
114.1284716,-5.862739714,1295.1091,242
114.1475769,-5.855632146,1294.0083,242
114.1667636,-5.848254113,1292.907,242
114.1859088,-5.841010009,1291.805,242
114.2050943,-5.833630245,1290.7022,242
114.2242793,-5.826249617,1289.5988,242
114.2435047,-5.818733338,1288.4946,242
114.2627295,-5.811216201,1287.3898,242
114.2819063,-5.80361097,1286.2843,242
114.3012183,-5.796044574,1285.1781,242
114.3204823,-5.788390089,1284.0712,242
114.3396983,-5.780647533,1282.9635,242
114.3590021,-5.772856578,1281.8551,242
114.3783053,-5.765064776,1280.7462,242
114.3975604,-5.757184927,1279.6364,242
114.4169033,-5.749256675,1278.526,242
114.4362456,-5.741327582,1277.4148,242
114.4556283,-5.733262891,1276.303,242
114.4749219,-5.725244946,1275.1903,242
114.4943917,-5.717131007,1274.0771,242
114.5137251,-5.70897665,1272.9631,242
114.5331462,-5.700773883,1271.8485,242
114.5525193,-5.692483137,1270.7331,242
114.5719802,-5.68414398,1269.617,242
114.5914403,-5.675804003,1268.5002,242
114.6108525,-5.667376072,1267.3827,242
114.630264,-5.658947335,1266.2645,242
114.6497632,-5.650470181,1265.1456,242
114.6692144,-5.6419051,1264.0258,242
114.6887532,-5.633291602,1262.9055,242
114.7082441,-5.624590197,1261.7844,242
114.7277342,-5.615887999,1260.6626,242
114.7471764,-5.607097919,1259.5401,242
114.7667536,-5.598346514,1258.4169,242
114.7862353,-5.589420158,1257.2929,242
114.8057638,-5.580580102,1256.1683,242
114.8253326,-5.571604558,1255.0429,242
114.8448533,-5.562541179,1253.9168,242
114.8644208,-5.55356409,1252.79,242
114.8840285,-5.544451531,1251.6624,242
114.9035882,-5.535251164,1250.5342,242
114.9231472,-5.526050044,1249.4053,242
114.9427055,-5.516848169,1248.2755,242
114.9623041,-5.50751086,1247.1451,242
114.981902,-5.498172806,1246.0139,242
115.0014518,-5.488746999,1244.882,242
115.0210893,-5.47927279,1243.7494,242
115.0407261,-5.469797846,1242.6161,242
115.0603149,-5.460235177,1241.482,242
115.079903,-5.450671787,1240.3472,242
115.0995313,-5.440973017,1239.2117,242
115.1191589,-5.431273535,1238.0753,242
115.1387859,-5.42157334,1236.9383,242
115.1584531,-5.411737787,1235.8006,242
115.1780313,-5.401949225,1234.662,242
115.1976497,-5.392025326,1233.5227,242
115.2173558,-5.382053038,1232.3828,242
115.2369729,-5.372127762,1231.2421,242
115.2566302,-5.362067169,1230.1006,242
115.2762394,-5.351918981,1228.9584,242
115.2958954,-5.34185704,1227.8155,242
115.3154559,-5.331620616,1226.6718,242
115.3351514,-5.321422723,1225.5273,242
115.3547988,-5.311137273,1224.3822,242
115.3743982,-5.300764288,1223.2362,242
115.3940443,-5.290477543,1222.0895,242
115.4136832,-5.279968677,1220.942,242
115.4333688,-5.269546049,1219.7938,242
115.4529589,-5.258949066,1218.6448,242
115.4725958,-5.248438322,1217.4951,242
115.4921846,-5.237840111,1216.3446,242
115.5118137,-5.22710671,1215.1934,242
115.5313538,-5.216420455,1214.0413,242
115.5509815,-5.205685859,1212.8885,242
115.5705611,-5.194863847,1211.735,242
115.5902283,-5.183993499,1210.5807,242
115.6098066,-5.173170322,1209.4256,242
115.6293778,-5.16212521,1208.2698,242
115.6489956,-5.151166333,1207.1131,242
115.6685654,-5.140120102,1205.9557,242
115.6881346,-5.129073318,1204.7974,242
115.7076557,-5.117939211,1203.6385,242
115.727217,-5.10667003,1202.4787,242
115.7467369,-5.095534853,1201.3182,242
115.7662495,-5.084177863,1200.1569,242
115.7858089,-5.072907106,1198.9948,242
115.8053202,-5.06154909,1197.8319,242
115.8247836,-5.050103835,1196.6682,242
115.8443345,-5.038610299,1195.5038,242
115.8637492,-5.027077342,1194.3385,242
115.8832988,-5.015582825,1193.1724,242
115.9026649,-5.003962204,1192.0056,242
115.9221186,-4.992293327,1190.8379,242
115.9415716,-4.980623987,1189.6694,242
115.9609766,-4.968867505,1188.5001,242
115.980381,-4.957110576,1187.3301,242
115.9997374,-4.945266535,1186.1592,242
116.0191814,-4.933374257,1184.9875,242
116.0384893,-4.921442704,1183.815,242
116.0578847,-4.909462926,1182.6417,242
116.077144,-4.897443908,1181.4676,242
116.0964909,-4.885376679,1180.2926,242
116.115749,-4.873356871,1179.1168,242
116.1349999,-4.861115611,1177.9402,242
116.1542976,-4.848960598,1176.7628,242
116.1735474,-4.8367186,1175.5845,242
116.1926612,-4.824437468,1174.4053,242
116.2118625,-4.812108164,1173.2254,242
116.2310632,-4.799778515,1172.0447,242
116.250216,-4.787361944,1170.8631,242
116.2693209,-4.774858473,1169.6806,242
116.2884252,-4.76235469,1168.4974,242
116.307529,-4.749850598,1167.3133,242
116.3265849,-4.737259646,1166.1283,242
116.3455929,-4.724581857,1164.9425,242
116.3646004,-4.711903792,1163.7558,242
116.3836074,-4.699225452,1162.5682,242
116.4025664,-4.686460316,1161.3799,242
116.4214777,-4.673608406,1160.1906,242
116.4403884,-4.660756255,1159.0004,242
116.4592986,-4.647903865,1157.8095,242
116.478161,-4.634964742,1156.6176,242
116.4969755,-4.621938908,1155.4249,242
116.5157015,-4.608960728,1154.2313,242
116.534515,-4.595934487,1153.0368,242
116.5532807,-4.582821577,1151.8414,242
116.5719106,-4.569669883,1150.6453,242
116.5906281,-4.556470157,1149.4481,242
116.609257,-4.543318132,1148.2501,242
116.6278789,-4.529945192,1147.0512,242
116.6464596,-4.516706423,1145.8514,242
116.6649452,-4.503294654,1144.6507,242
116.6834777,-4.489969191,1143.449,242
116.7019624,-4.476557189,1142.2465,242
116.7203995,-4.463058669,1141.0431,242
116.7387007,-4.449521533,1139.8388,242
116.7571369,-4.436022835,1138.6336,242
116.77539,-4.422399155,1137.4274,242
116.7937308,-4.408727536,1136.2204,242
116.8119831,-4.395103742,1135.0123,242
116.8301877,-4.381393529,1133.8034,242
116.8482567,-4.367644804,1132.5936,242
116.8664133,-4.353848174,1131.3828,242
116.8845222,-4.33996518,1130.1711,242
116.9025428,-4.326130071,1128.9584,242
116.9205157,-4.312208631,1127.7449,242
116.9384883,-4.298287208,1126.5303,242
116.9563252,-4.284327378,1125.3148,242
116.9742499,-4.270319693,1124.0984,242
116.9919917,-4.256187329,1122.881,242
117.0097804,-4.242141333,1121.6627,242
117.0275215,-4.228009103,1120.4434,242
117.0451271,-4.213838557,1119.2231,242
117.0628204,-4.199620207,1118.0018,242
117.0803782,-4.185363574,1116.7797,242
117.0978884,-4.171020786,1115.5564,242
117.1153104,-4.156726022,1114.3323,242
117.1327321,-4.142431387,1113.1072,242
117.1501063,-4.128050639,1111.8809,242
117.167433,-4.113583799,1110.6538,242
117.1846244,-4.099078792,1109.4257,242
117.2018626,-4.08466019,1108.1965,242
117.2190063,-4.07006932,1106.9664,242
117.2361497,-4.055478648,1105.7353,242
117.2531577,-4.040849875,1104.5032,242
117.2700775,-4.026269221,1103.27,242
117.287038,-4.011554692,1102.0359,242
117.3038631,-3.996802116,1100.8007,242
117.320688,-3.982049791,1099.5646,242
117.3374248,-3.967345625,1098.3273,242
117.354067,-3.952469384,1097.0891,242
117.3706212,-3.937641332,1095.8498,242
117.3872632,-3.922765663,1094.6094,242
117.4036819,-3.907899949,1093.3681,242
117.4201414,-3.892900494,1092.1256,242
117.4364656,-3.877863133,1090.8822,242
117.4527018,-3.862874014,1089.6377,242
117.4689378,-3.847885234,1088.3921,242
117.4850796,-3.832724565,1087.1455,242
117.5011803,-3.817698281,1085.8978,242
117.5171868,-3.80250015,1084.6491,242
117.5331053,-3.787350313,1083.3992,242
117.5489766,-3.772114774,1082.1483,242
117.56476,-3.756927545,1080.8963,242
117.5804491,-3.741568566,1079.6432,242
117.5960973,-3.726343998,1078.389,242
117.6116514,-3.710947722,1077.1337,242
117.6272054,-3.695551895,1075.8773,242
117.6425836,-3.68025233,1074.6199,242
117.6579556,-3.66473322,1073.3613,242
117.6731517,-3.649310397,1072.1017,242
117.6884358,-3.633840154,1070.8409,242
117.70345,-3.618294142,1069.579,242
117.7184642,-3.60274864,1068.3159,242
117.7334785,-3.58720365,1067.0518,242
117.7482229,-3.571582954,1065.7865,242
117.7630554,-3.555914895,1064.5201,242
117.7777121,-3.540343176,1063.2526,242
117.7922749,-3.524600012,1061.9839,242
117.8068378,-3.508857415,1060.714,242
117.8213128,-3.493163283,1059.443,242
117.8356061,-3.477345666,1058.1709,242
117.8498117,-3.461576538,1056.8976,242
117.8639704,-3.44572204,1055.6232,242
117.8780413,-3.429916043,1054.3475,242
117.8920655,-3.414024701,1053.0707,242
117.9059549,-3.398095924,1051.7927,242
117.9197097,-3.382129729,1050.5136,242
117.9333768,-3.366212068,1049.2333,242
117.9469971,-3.35020912,1047.9517,242
117.9604828,-3.334168791,1046.669,242
117.9738809,-3.318177016,1045.385,242
117.9872323,-3.302099995,1044.0999,242
118.0003611,-3.286033512,1042.8136,242
118.0134434,-3.269881813,1041.5261,242
118.0265259,-3.253730817,1040.2373,242
118.0393861,-3.237590388,1038.9474,242
118.0521996,-3.221364782,1037.6562,242
118.0648786,-3.205101892,1036.3638,242
118.0774701,-3.188887609,1035.0702,242
118.0899271,-3.172636056,1033.7753,242
118.1022497,-3.156347248,1032.4792,242
118.1145727,-3.14005919,1031.1819,242
118.1266265,-3.123695902,1029.8832,242
118.1386808,-3.107333382,1028.5834,242
118.1506475,-3.091019494,1027.2823,242
118.162433,-3.074582548,1025.98,242
118.1741311,-3.058194247,1024.6763,242
118.1857828,-3.041720897,1023.3714,242
118.1972122,-3.025258223,1022.0653,242
118.2085954,-3.008710524,1020.7579,242
118.2198032,-2.992259337,1019.4491,242
118.2309647,-2.975723138,1018.1391,242
118.241904,-2.959197637,1016.8279,242
118.2527971,-2.942587147,1015.5153,242
118.263556,-2.925939526,1014.2014,242
118.2742276,-2.909340578,1012.8862,242
118.2846771,-2.892752344,1011.5697,242
118.2950804,-2.876079153,1010.2519,242
118.3053497,-2.859368854,1008.9328,242
118.3155316,-2.842707233,1007.6124,242
118.3254448,-2.82597056,1006.2907,242
118.3353586,-2.809234741,1004.9676,242
118.3451384,-2.792461831,1003.6433,242
118.3546963,-2.775699656,1002.3175,242
118.3642081,-2.758852579,1000.9905,242
118.3735447,-2.742101999,999.6621,242
118.3827474,-2.725314336,998.3324,242
118.3918574,-2.708356039,997.0013,242
118.4007923,-2.691494232,995.6688,242
118.4095933,-2.674595355,994.335,242
118.4182192,-2.657792949,992.9999,242
118.4267524,-2.640819937,991.6634,242
118.4351986,-2.623895597,990.3255,242
118.4433763,-2.606896254,988.9863,242
118.4514668,-2.589945574,987.6457,242
118.4594236,-2.572957828,986.3037,242
118.4672467,-2.555933018,984.9603,242
118.474936,-2.538871144,983.6156,242
118.4824503,-2.521905692,982.2694,242
118.4897842,-2.504817457,980.9219,242
118.4969844,-2.487692154,979.573,242
118.5040977,-2.470615484,978.2227,242
118.5109893,-2.453549498,976.8708,242
118.5177473,-2.436446429,975.5177,242
118.5243717,-2.419306276,974.1632,242
118.5308625,-2.402129037,972.8072,242
118.5371318,-2.384962454,971.4498,242
118.5432675,-2.367758774,970.0911,242
118.5492697,-2.350517994,968.7309,242
118.5550504,-2.333287842,967.3693,242
118.5607442,-2.316106255,966.0062,242
118.5662579,-2.298801868,964.6417,242
118.5715968,-2.281593753,963.2758,242
118.5767556,-2.264262827,961.9084,242
118.5817397,-2.247028141,960.5396,242
118.5865438,-2.229670631,959.1694,242
118.591261,-2.212361626,957.7977,242
118.5957569,-2.19506315,956.4245,242
118.6001194,-2.17772749,955.05,242
118.6042141,-2.160316669,953.674,242
118.608222,-2.142954302,952.2964,242
118.6120965,-2.12555472,950.9175,242
118.6157498,-2.108165592,949.5371,242
118.6191354,-2.090701242,948.1552,242
118.6224342,-2.073285288,946.7719,242
118.6255998,-2.055832067,945.387,242
118.6285442,-2.038389227,944.0008,242
118.6312673,-2.020956742,942.613,242
118.6338109,-2.003401295,941.2237,242
118.6362677,-1.985894169,939.833,242
118.6384154,-1.96844498,938.4408,242
118.6405179,-1.950910789,937.0471,242
118.642265,-1.933348838,935.652,242
118.6439253,-1.915835128,934.2553,242
118.6454061,-1.898198359,932.8572,242
118.6467123,-1.880657414,931.4575,242
118.647751,-1.863040982,930.0564,242
118.6487031,-1.845472712,928.6538,242
118.6492998,-1.827876502,927.2497,242
118.6498514,-1.810195172,925.8441,242
118.6500941,-1.79257148,924.437,242
118.6502037,-1.774910217,923.0284,242
118.6501804,-1.757211367,921.6183,242
118.6498482,-1.739570051,920.2066,242
118.649383,-1.721891092,918.7936,242
118.6486505,-1.704136388,917.3789,242
118.6478315,-1.686429636,915.9628,242
118.6466572,-1.668694625,914.5452,242
118.6453963,-1.651007506,913.126,242
118.6438683,-1.633244508,911.7053,242
118.6422074,-1.61544371,910.2832,242
118.6401913,-1.597614489,908.8594,242
118.6380887,-1.579833046,907.4343,242
118.6357653,-1.562061225,906.0076,242
118.6331748,-1.54421334,904.5792,242
118.6304515,-1.526327499,903.1495,242
118.6274193,-1.50849866,901.7182,242
118.6242544,-1.490631796,900.2855,242
118.6208687,-1.472774359,898.8512,242
118.617128,-1.454888125,897.4154,242
118.6133888,-1.437001946,895.9781,242
118.6092945,-1.419086878,894.5392,242
118.6049796,-1.401181061,893.0989,242
118.6003977,-1.383198789,891.657,242
118.5957293,-1.3652639,890.2136,242
118.590706,-1.347299903,888.7686,242
118.58555,-1.329297546,887.3222,242
118.5800391,-1.311265966,885.8743,242
118.5744417,-1.293281611,884.4248,242
118.5685775,-1.275220515,882.9739,242
118.5624046,-1.257215693,881.5214,242
118.556099,-1.239172298,880.0673,242
118.5494386,-1.221099381,878.6119,242
118.5426456,-1.202987798,877.1548,242
118.535632,-1.184884887,875.6963,242
118.5282635,-1.166752263,874.2362,242
118.5207625,-1.148580832,872.7746,242
118.5129528,-1.130465253,871.3116,242
118.5050105,-1.112310775,869.847,242
118.4967135,-1.094126321,868.3809,242
118.4881959,-1.07595019,866.9132,242
118.4794576,-1.057782324,865.4442,242
118.4704527,-1.039536954,863.9736,242
118.4612272,-1.02129973,862.5015,242
118.4517351,-1.00298487,861.0279,242
118.4420224,-0.984678034,859.5528,242
118.432001,-0.966426439,858.0762,242
118.421713,-0.948096996,856.5981,242
118.4112926,-0.929728116,855.1186,242
118.4005634,-0.911414265,853.6375,242
118.3894796,-0.893069608,852.155,242
118.3782174,-0.874599576,850.671,242
118.3666924,-0.85627009,849.1855,242
118.354855,-0.837776565,847.6985,242
118.342843,-0.819376216,846.2101,242
118.3305644,-0.800897447,844.7201,242
118.3179312,-0.782387373,843.2287,242
118.3050775,-0.763884486,841.7359,242
118.2920032,-0.745388721,840.2415,242
118.2786625,-0.726814218,838.7457,242
118.2649671,-0.708208053,837.2485,242
118.2510512,-0.689608772,835.7498,242
118.2369148,-0.671016308,834.2497,242
118.2224237,-0.652391908,832.7481,242
118.2076662,-0.633688335,831.2451,242
118.1926882,-0.614991332,829.7406,242
118.1774014,-0.596347937,828.2346,242
118.1618024,-0.577539268,826.7273,242
118.1459404,-0.558869855,825.2185,242
118.1298545,-0.53998789,823.7083,242
118.1133715,-0.521206229,822.1967,242
118.0967562,-0.502383558,820.6837,242
118.0797864,-0.483528061,819.1693,242
118.0624619,-0.464639618,817.6534,242
118.0449169,-0.445756963,816.1362,242
118.0271055,-0.426794122,814.6175,242
118.0089395,-0.407798016,813.0975,242
117.990553,-0.388807426,811.5761,242
117.9718119,-0.369783353,810.0533,242
117.9528044,-0.350678683,808.5292,242
117.9335763,-0.331579251,807.0036,242
117.9139054,-0.312492974,805.4767,242
117.8940565,-0.293278818,803.9485,242
117.8738986,-0.274116567,802.4189,242
117.8533862,-0.254920146,800.8879,242
117.8326074,-0.235642492,799.3556,242
117.8115197,-0.216416408,797.822,242
117.7900317,-0.197069795,796.287,242
117.7683231,-0.177727599,794.7507,242
117.7463481,-0.158303728,793.2131,242
117.7240642,-0.138930975,791.6741,242
117.70138,-0.11943717,790.1339,242
117.6784751,-0.099947365,788.5923,242
117.6552156,-0.080422281,787.0495,242
117.6316015,-0.060861776,785.5054,242
117.607721,-0.04121888,783.96,242
117.5835315,-0.021626378,782.4133,242
117.55903,-0.001865176,780.8653,242
117.5342195,0.01784588,779.3161,242
117.5090543,0.037593008,777.7657,242
117.4836227,0.057423132,776.2141,242
117.4577481,0.077242832,774.6611,242
117.4316955,0.097192555,773.107,242
117.4051998,0.117132148,771.5516,242
117.3784378,0.13715526,769.995,242
117.351321,0.157215285,768.4372,242
117.3238495,0.177312371,766.8782,242
117.2960687,0.19736048,765.3181,242
117.2679761,0.217578821,763.7567,242
117.2395287,0.237834655,762.1941,242
117.2107264,0.258128133,760.6304,242
117.1817033,0.278419835,759.0656,242
117.1522799,0.298835687,757.4996,242
117.1224132,0.319242984,755.9324,242
117.0922801,0.339735167,754.3642,242
117.0618806,0.360312356,752.7948,242
117.0310377,0.380881467,751.2243,242
116.999883,0.401622177,749.6527,242
116.9683303,0.422268852,748.08,242
116.9364657,0.443087442,746.5062,242
116.9042917,0.46385887,744.9312,242
116.8717172,0.48475596,743.3553,242
116.8387878,0.505692543,741.7783,242
116.8055465,0.52680168,740.2003,242
116.771907,0.547817729,738.6213,242
116.7379557,0.569006653,737.0411,242
116.7035608,0.590189221,735.46,242
116.6688993,0.611458587,733.8779,242
116.6338374,0.632854848,732.2948,242
116.5984658,0.6542053,730.7107,242
116.5625597,0.675723018,729.1256,242
116.5264325,0.697241706,727.5395,242
116.4899047,0.718888016,725.9525,242
116.4530217,0.740575643,724.3646,242
116.4157835,0.762304752,722.7757,242
116.3781448,0.784162036,721.1859,242
116.3401508,0.806061155,719.5952,242
116.3017562,0.82808883,718.0036,242
116.2630063,0.850158694,716.4111,242
116.2238558,0.872357497,714.8177,242
116.1842613,0.894552514,713.2234,242
116.1444001,0.916836578,711.6283,242
116.1041381,0.939250142,710.0324,242
116.0633869,0.961747121,708.4356,242
116.0223688,0.984333659,706.838,242
115.9809066,1.006917345,705.2395,242
115.9391323,1.029677581,703.6403,242
115.8968685,1.052522051,702.0403,242
115.8542492,1.07541051,700.4396,242
115.811229,1.098429855,698.838,242
115.767808,1.121580295,697.2357,242
115.7239426,1.144729076,695.6327,242
115.679765,1.168055544,694.0291,242
115.6350977,1.191467527,692.4246,242
115.5900747,1.214924618,690.8195,242
115.5446507,1.238513804,689.2137,242
115.4988257,1.262235293,687.6071,242
115.4525997,1.286089291,686,242
115.405929,1.30994302,684.3923,242
115.3588572,1.333929665,682.7839,242
115.3113843,1.358049431,681.1748,242
115.2635102,1.382302526,679.5652,242
115.2152349,1.406689153,677.955,242
115.1665148,1.431076514,676.3441,242
115.1173483,1.455684779,674.7328,242
115.0677367,1.480294203,673.1209,242
115.0177676,1.50517101,671.5084,242
114.9673534,1.530049373,669.8955,242
114.9164927,1.555149542,668.282,242
114.8651868,1.580251688,666.668,242
114.8134343,1.605576099,665.0536,242
114.7613254,1.630948855,663.4386,242
114.708681,1.656498368,661.8233,242
114.6556801,1.682096614,660.2075,242
114.6022324,1.707918011,658.5912,242
114.5483831,1.733875653,656.9746,242
114.4940432,1.759923842,655.3576,242
114.4391675,1.786149996,653.7402,242
114.384024,1.812471722,652.1225,242
114.3282557,1.838926,650.5044,242
114.2721744,1.865563437,648.886,242
114.2155572,1.892379777,647.2673,242
114.1584491,1.919288022,645.6483,242
114.1009389,1.946334203,644.029,242
114.0430265,1.973518502,642.4094,242
113.9845781,2.000882645,640.7896,242
113.9257273,2.02838533,639.1695,242
113.8663404,2.056068337,637.5492,242
113.8064621,2.083844554,635.9288,242
113.7462253,2.111893059,634.3082,242
113.6854082,2.139989457,632.6873,242
113.6241435,2.168312848,631.0664,242
113.5624762,2.196776003,629.4452,242
113.5002722,2.225420869,627.824,242
113.4376206,2.254293377,626.2027,242
113.3744771,2.283260574,624.5813,242
113.3107968,2.312410176,622.9598,242
113.2467136,2.341700532,621.3382,242
113.1820483,2.371261283,619.7166,242
113.116891,2.400917571,618.095,242
113.0512855,2.430802782,616.4734,242
112.9852318,2.460917115,614.8518,242
112.9185966,2.491081971,613.2303,242
112.8514682,2.521564001,611.6088,242
112.7839363,2.552188117,609.9874,242
112.7157328,2.583038724,608.3661,242
112.6471256,2.614031799,606.7449,242
112.5780248,2.645342913,605.1238,242
112.5083419,2.676705787,603.5029,242
112.4381652,2.708387133,601.882,242
112.3674954,2.740166131,600.2614,242
112.2963316,2.772263998,598.6411,242
112.2246295,2.804547667,597.0208,242
112.152389,2.837017329,595.4009,242
112.0795652,2.869761021,593.7812,242
112.0062475,2.902603244,592.1618,242
111.9324354,2.935765325,590.5427,242
111.8580396,2.969202038,588.9238,242
111.7831497,3.002737764,587.3053,242
111.7076309,3.036636429,585.6872,242
111.6316177,3.070634428,584.0695,242
111.5551095,3.104953189,582.4521,242
111.4780169,3.139547515,580.8351,242
111.4002955,3.174284228,579.2185,242
111.3220786,3.209342224,577.6024,242
111.2433218,3.244588269,575.9868,242
111.1640693,3.280155884,574.3717,242
111.0841424,3.315954566,572.7571,242
111.0036752,3.35194172,571.143,242
110.922667,3.388338992,569.5294,242
110.8410287,3.424879694,567.9165,242
110.7588941,3.461742672,566.3041,242
110.6760842,3.498837479,564.6924,242
110.5927775,3.536254808,563.0813,242
110.5088401,3.573816026,561.4708,242
110.4243607,3.611788174,559.861,242
110.3392054,3.649992652,558.252,242
110.2535525,3.688520055,556.6436,242
110.1673127,3.727325219,555.036,242
110.0803513,3.766451295,553.4291,242
109.9928474,3.805767023,551.8231,242
109.9048003,3.845494271,550.2178,242
109.816076,3.885454381,548.6134,242
109.7267187,3.925780968,547.0099,242
109.636773,3.966385738,545.4072,242
109.5462388,4.007268714,543.8054,242
109.4550709,4.048518318,542.2045,242
109.363269,4.090134603,540.6046,242
109.2707884,4.131984006,539.0056,242
109.1777627,4.17424529,537.4075,242
109.0840577,4.216739687,535.8106,242
108.9897177,4.259600803,534.2147,242
108.8947424,4.30282863,532.6199,242
108.799042,4.346378018,531.026,242
108.7027056,4.390294076,529.4334,242
108.6058674,4.434533329,527.8419,242
108.5081688,4.47913744,526.2515,242
108.4099228,4.524153165,524.6623,242
108.3109949,4.569401592,523.0744,242
108.2113846,4.615104914,521.4876,242
108.1110915,4.66126306,519.9021,242
108.0102049,4.707698664,518.3179,242
107.9085453,4.754543748,516.735,242
107.8062466,4.801754629,515.1534,242
107.7032189,4.849286038,513.5732,242
107.5995064,4.897271572,511.9944,242
107.4951086,4.945711062,510.417,242
107.3899806,4.994470513,508.841,242
107.2842115,5.04359477,507.2665,242
107.1777108,5.093261062,505.6934,242
107.0704784,5.143246585,504.1219,242
106.9625585,5.193684894,502.5519,242
106.853861,5.244530626,500.9835,242
106.7444749,5.295828561,499.4167,242
106.6343552,5.347444486,497.8515,242
106.5235008,5.399600742,496.2878,242
106.4118666,5.452163081,494.726,242
106.2994967,5.50526504,493.1658,242
106.1864805,5.558728543,491.6074,242
106.0725479,5.61264066,490.0508,242
105.9580125,5.667047367,488.4959,242
105.8426944,5.721857997,486.9429,242
