ra,dec,d,phase
112.7511474,-6.296078373,1369.1024,240
112.7689401,-6.292240869,1368.0488,240
112.7867737,-6.288267549,1366.9946,240
112.8047429,-6.284333738,1365.9397,240
112.8226645,-6.280311357,1364.8841,240
112.8405383,-6.276200421,1363.8278,240
112.8585478,-6.272128968,1362.7709,240
112.8765095,-6.267968961,1361.7132,240
112.8945595,-6.263760775,1360.6549,240
112.9125617,-6.259464046,1359.5958,240
112.9306522,-6.255119131,1358.5361,240
112.9487423,-6.250773307,1357.4758,240
112.966832,-6.246426573,1356.4147,240
112.9849626,-6.24194402,1355.353,240
113.0031814,-6.23741326,1354.2905,240
113.0212639,-6.232841284,1353.2275,240
113.0395705,-6.228261393,1352.1637,240
113.0577407,-6.223640296,1351.0992,240
113.0759517,-6.218883388,1350.034,240
113.0942983,-6.21416584,1348.9681,240
113.1125971,-6.209359792,1347.9016,240
113.1308482,-6.204465257,1346.8345,240
113.1492347,-6.199610057,1345.7666,240
113.1675734,-6.194666373,1344.698,240
113.185953,-6.189586883,1343.6288,240
113.2043794,-6.184594035,1342.5589,240
113.2227581,-6.179512721,1341.4883,240
113.2412248,-6.174383149,1340.417,240
113.2597324,-6.16911777,1339.3451,240
113.2782394,-6.163851476,1338.2724,240
113.296746,-6.158584268,1337.1991,240
113.3152521,-6.153316143,1336.1251,240
113.3338876,-6.147864853,1335.0504,240
113.3524339,-6.142460014,1333.9751,240
113.3710211,-6.136919381,1332.899,240
113.3896077,-6.131377838,1331.8223,240
113.4082823,-6.125788002,1330.7449,240
113.4269092,-6.120109759,1329.6668,240
113.4456714,-6.114470703,1328.588,240
113.4643858,-6.108743243,1327.5086,240
113.4831408,-6.102879996,1326.4284,240
113.5018954,-6.097015838,1325.3476,240
113.5206494,-6.091150767,1324.2661,240
113.5394915,-6.085237375,1323.1839,240
113.5582856,-6.079235612,1322.101,240
113.5771678,-6.073185524,1321.0175,240
113.5960021,-6.067047078,1319.9333,240
